1,0.0,Show,Phase 2,Automatic,1,
2,1.9,Touch,X = 588,Y = 324,Fail,
3,4.1,Touch,X = 589,Y = 297,Fail,
4,6.4,Touch,X = 666,Y = 207,Fail,
5,9.0,Touch,X = 651,Y = 215,Fail,
6,14.1,Touch,X = 763,Y = 168,Fail,
7,15.0,Hide,Phase 2,Automatic,,
8,15.0,Reward,Phase 2,Automatic,,
9,19.4,Touch,X = 743,Y = 196,Fail,
10,24.9,Touch,X = 647,Y = 212,Fail,
11,27.0,Touch,X = 754,Y = 192,Fail,
12,29.3,Touch,X = 647,Y = 212,Fail,
13,31.8,Touch,X = 653,Y = 214,Fail,
14,34.0,Touch,X = 654,Y = 223,Fail,
15,40.4,IR Break,,,,
16,40.4,IR Break,,,,
17,72.7,Touch,X = 683,Y = 249,Fail,
18,76.2,Touch,X = 741,Y = 225,Fail,
19,78.9,Touch,X = 627,Y = 225,Fail,
20,81.0,Touch,X = 825,Y = 212,Fail,
21,85.8,Touch,X = 626,Y = 238,Fail,
22,100.4,End,Phase 2,Automatic,,
23,100.4,Show,Phase 2,Automatic,2,
24,102.8,Touch,X = 217,Y = 295,Success,
25,102.8,Reward,Phase 2,2,Automatic,
26,111.8,IR Break,,,,
27,111.8,IR Break,,,,
28,116.8,Touch,X = 432,Y = 350,Fail,
29,145.2,Touch,X = 586,Y = 247,Fail,
30,150.8,Touch,X = 647,Y = 168,Fail,
31,156.6,Touch,X = 545,Y = 210,Fail,
32,166.1,Touch,X = 709,Y = 369,Fail,
33,171.8,End,Phase 2,Manual,,
34,171.8,Show,Phase 2,Manual,3,
35,174.7,Touch,X = 222,Y = 297,Success,
36,174.7,Reward,Phase 2,3,Manual,
37,179.4,IR Break,,,,
38,179.6,IR Break,,,,
39,218.2,Reward,Phase 2,3,Manual,
40,222.6,IR Break,,,,
41,222.6,IR Break,,,,
42,256.2,Touch,X = 749,Y = 199,Fail,
43,259.5,Touch,X = 176,Y = 310,Partial,
44,282.6,End,Phase 2,Manual,,
45,282.6,Show,Phase 2,Manual,4,
46,288.3,Reward,Phase 2,4,Manual,
47,290.4,Touch,X = 604,Y = 214,Fail,
48,292.7,Touch,X = 662,Y = 263,Fail,
