7,0.0,Stimulus,circle,green,left,small
8,0.0,Show,Phase 2,Automatic,1,
9,2.2,Touch,X = 634,Y = 271,Fail,
10,4.7,Touch,X = 749,Y = 229,Fail,
11,7.1,IR Break,,,,
12,9.4,Touch,X = 756,Y = 266,Fail,
13,11.8,IR Break,,,,
14,13.8,Touch,X = 503,Y = 524,Fail,
15,15.0,Hide,Phase 2,Automatic,,
16,15.0,Reward,Phase 2,Automatic,,
17,17.1,Touch,X = 223,Y = 316,Partial,
18,19.6,Touch,X = 723,Y = 319,Fail,
19,23.9,IR Break,,,,
20,23.9,Delay,Phase 2,Automatic,60,
21,33.3,Touch,X = 540,Y = 259,Fail,
22,36.0,Touch,X = 598,Y = 381,Fail,
23,38.9,IR Break,,,,
24,42.0,Touch,X = 234,Y = 309,Partial,
25,51.6,Touch,X = 605,Y = 281,Fail,
26,57.8,Touch,X = 601,Y = 382,Fail,
27,62.9,Touch,X = 605,Y = 443,Fail,
28,67.9,IR Break,,,,
29,78.4,Touch,X = 637,Y = 280,Fail,
30,83.9,End,Phase 2,Automatic,,
31,83.9,Show,Phase 2,Automatic,2,
32,86.6,Touch,X = 220,Y = 340,Success,
33,86.6,Reward,Phase 2,2,Automatic,
34,89.9,Touch,X = 657,Y = 226,Fail,
35,92.9,Touch,X = 763,Y = 280,Fail,
36,96.6,IR Break,,,,
37,96.6,Delay,Phase 2,Manual,60,
38,100.0,Touch,X = 589,Y = 240,Fail,
39,105.7,Touch,X = 538,Y = 388,Fail,
40,109.9,IR Break,,,,
41,121.6,Touch,X = 575,Y = 331,Fail,
42,131.8,Touch,X = 778,Y = 200,Fail,
43,136.3,Touch,X = 227,Y = 311,Partial,
44,139.8,IR Break,,,,
45,156.6,End,Phase 2,Manual,Success,
46,156.6,Show,Phase 2,Manual,3,
47,160.9,Touch,X = 638,Y = 305,Fail,
48,165.0,Touch,X = 215,Y = 289,Success,
49,165.0,Reward,Phase 2,3,Manual,
50,168.0,Touch,X = 350,Y = 292,Fail,
51,171.2,IR Break,,,,
52,171.2,Delay,Phase 2,Manual,60,
53,174.5,Touch,X = 582,Y = 274,Fail,
54,176.7,IR Break,,,,
55,178.1,Touch,X = 703,Y = 240,Fail,
56,185.3,Touch,X = 581,Y = 232,Fail,
57,199.2,Touch,X = 517,Y = 342,Fail,
58,219.3,Touch,X = 612,Y = 350,Fail,
59,221.8,Touch,X = 843,Y = 275,Fail,
60,225.5,IR Break,,,,
61,228.2,Touch,X = 716,Y = 224,Fail,
62,231.2,End,Phase 2,Manual,Success,
63,231.2,Show,Phase 2,Manual,4,
64,233.3,Touch,X = 525,Y = 149,Fail,
65,237.3,Touch,X = 404,Y = 94,Fail,
66,241.2,IR Break,,,,
67,243.0,Touch,X = 713,Y = 275,Fail,
68,246.2,Hide,Phase 2,Manual,,
69,248.3,Touch,X = 571,Y = 291,Fail,
70,253.4,IR Break,,,,
71,255.1,Touch,X = 725,Y = 298,Fail,
72,258.4,Touch,X = 589,Y = 174,Fail,
73,266.2,End,Phase 2,Manual,Fail,
74,266.2,Show,Phase 2,Manual,5,
75,267.5,Touch,X = 650,Y = 154,Fail,
76,270.5,Touch,X = 210,Y = 309,Success,
77,270.5,Reward,Phase 2,5,Manual,
78,275.5,Touch,X = 621,Y = 268,Fail,
79,278.3,Touch,X = 724,Y = 351,Fail,
80,282.8,IR Break,,,,
81,282.8,Delay,Phase 2,Manual,60,
82,296.9,Touch,X = 525,Y = 237,Fail,
83,310.9,Touch,X = 537,Y = 283,Fail,
84,314.2,Touch,X = 775,Y = 167,Fail,
85,317.2,Touch,X = 278,Y = 593,Fail,
86,321.5,IR Break,,,,
87,328.0,Touch,X = 185,Y = 347,Partial,
88,332.9,Touch,X = 622,Y = 238,Fail,
89,342.8,End,Phase 2,Manual,Success,
90,342.8,Show,Phase 2,Manual,6,
91,346.5,Touch,X = 661,Y = 297,Fail,
92,357.8,Hide,Phase 2,Manual,,
93,366.1,Touch,X = 576,Y = 301,Fail,
94,377.0,Touch,X = 690,Y = 206,Fail,
95,377.8,End,Phase 2,Manual,Fail,
96,377.8,Show,Phase 2,Manual,7,
97,380.5,IR Break,,,,
98,382.8,Touch,X = 769,Y = 412,Fail,
99,392.8,Hide,Phase 2,Manual,,
100,394.6,Touch,X = 210,Y = 340,Partial,
101,398.3,Touch,X = 478,Y = 490,Fail,
102,402.2,IR Break,,,,
103,411.8,Touch,X = 615,Y = 304,Fail,
104,412.8,End,Phase 2,Manual,Fail,
105,412.8,Show,Phase 2,Manual,8,
106,414.4,Touch,X = 204,Y = 334,Success,
107,414.4,Reward,Phase 2,8,Manual,
108,418.1,Touch,X = 654,Y = 216,Fail,
109,420.4,IR Break,,,,
110,420.4,Delay,Phase 2,Manual,60,
111,428.0,Touch,X = 530,Y = 257,Fail,
112,434.8,Touch,X = 647,Y = 517,Fail,
113,444.2,Touch,X = 576,Y = 191,Fail,
114,455.0,Touch,X = 678,Y = 258,Fail,
115,465.5,Touch,X = 651,Y = 208,Fail,
116,480.4,End,Phase 2,Manual,Success,
117,480.4,Show,Phase 2,Manual,9,
